loan_amnt,term,int_rate,installment,grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,pymnt_plan,purpose,title,addr_state,dti,delinq_2yrs,mths_since_last_delinq,mths_since_last_record,open_acc,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt_inv,total_rec_prncp,total_rec_int,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,policy_code,application_type,annual_inc_joint,verification_status_joint,acc_now_delinq,tot_cur_bal,duration_numeric,grade_A,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,home_ownership_ANY,home_ownership_MORTGAGE,home_ownership_NONE,home_ownership_OTHER,home_ownership_OWN,home_ownership_RENT,loan_status
30000.0,60,12.29,671.74,C,Sr. Program Manager,< 1 year,MORTGAGE,150000.0,Source Verified,Jul-2015,n,credit_card,Credit card refinancing,PA,15.25,0.0,32.0,,11.0,43721.0,75.1,21.0,w,28139.84,28139.84,3338.22,1860.16,1478.06,0.0,0.0,Jan-2016,671.74,Feb-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,336008.0,60,0,0,1,0,0,0,0,0,1,0,0,0,0,0
35000.0,36,7.89,1095.0,A,assistant store director,10+ years,MORTGAGE,165000.0,Verified,Jul-2015,n,other,Other,NH,17.64,0.0,,,20.0,40337.0,35.8,52.0,w,30618.38,30618.38,5459.66,4381.62,1078.04,0.0,0.0,Jan-2016,1095.0,Feb-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,416595.0,36,1,0,0,0,0,0,0,0,1,0,0,0,0,0
27000.0,36,10.99,883.82,B,owner,2 years,MORTGAGE,60000.0,Source Verified,Oct-2015,n,home_improvement,Home improvement,WA,21.8,0.0,36.0,,9.0,61295.0,78.0,25.0,f,25072.82,25072.82,2634.98,1927.18,707.8,0.0,0.0,Jan-2016,883.82,Feb-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,299303.0,36,0,1,0,0,0,0,0,0,1,0,0,0,0,0
22000.0,36,11.53,725.79,B,Accounts payable,< 1 year,MORTGAGE,60000.0,Source Verified,Mar-2015,n,debt_consolidation,Debt consolidation,TX,21.68,0.0,,,14.0,21507.0,53.1,28.0,w,17188.36,17188.36,6503.93,4811.64,1692.29,0.0,0.0,Jan-2016,725.79,Feb-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,89101.0,36,0,1,0,0,0,0,0,0,1,0,0,0,0,0
9750.0,36,12.99,328.47,B,Financial Advisor,10+ years,OWN,400000.0,Verified,Apr-2014,n,other,Other,SC,0.5,1.0,13.0,,4.0,8138.0,66.2,21.0,f,4801.77,4801.77,6569.4,4948.23,1621.17,0.0,0.0,Dec-2015,328.47,Feb-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,220138.0,36,0,1,0,0,0,0,0,0,0,0,0,1,0,0
5000.0,36,12.49,167.25,B,Truck Driver,3 years,RENT,62000.0,Not Verified,Oct-2014,n,debt_consolidation,Debt consolidation,PA,6.95,0.0,63.0,,7.0,5919.0,59.8,13.0,f,3140.11,3140.11,2508.75,1859.89,648.86,0.0,0.0,Jan-2016,167.25,Feb-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,8782.0,36,0,1,0,0,0,0,0,0,0,0,0,0,1,0
35000.0,60,17.57,880.61,D,master jeweler,5 years,MORTGAGE,80000.0,Verified,Aug-2014,n,credit_card,Credit card refinancing,NC,16.73,0.0,,,7.0,18771.0,73.6,10.0,w,27951.81,27951.81,14970.37,7048.19,7922.18,0.0,0.0,Jan-2016,880.61,Feb-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,155421.0,60,0,0,0,1,0,0,0,0,1,0,0,0,0,0
14000.0,60,16.59,344.86,D,civil service,9 years,MORTGAGE,78000.0,Source Verified,Apr-2014,n,credit_card,Credit card refinancing,FL,11.74,0.0,78.0,,16.0,15909.0,32.3,20.0,w,10342.23,10342.23,7242.06,3657.77,3584.29,0.0,0.0,Jan-2016,344.86,Feb-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,131137.0,60,0,0,0,1,0,0,0,0,1,0,0,0,0,0
10000.0,36,21.7,380.36,E,COO,2 years,OWN,150000.0,Source Verified,Nov-2013,n,small_business,Business Expansion,AZ,10.5,1.0,14.0,,9.0,3814.0,60.5,13.0,f,3763.25,3763.25,9508.92,6236.75,3272.17,0.0,0.0,Jan-2016,380.36,Jan-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,434437.0,36,0,0,0,0,1,0,0,0,0,0,0,1,0,0
20000.0,36,6.39,611.98,A,Respiratory therapist,10+ years,MORTGAGE,43000.0,Not Verified,Apr-2015,n,credit_card,Credit card refinancing,GA,21.41,0.0,,,10.0,33432.0,53.7,18.0,w,15879.98,15879.98,4888.74,4120.02,768.72,0.0,0.0,Dec-2015,611.98,Jan-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,33432.0,36,1,0,0,0,0,0,0,0,1,0,0,0,0,0
35000.0,36,8.18,1099.69,B,utility operator,10+ years,MORTGAGE,204000.0,Source Verified,Aug-2015,n,debt_consolidation,Debt consolidation,TX,8.01,0.0,,,13.0,12389.0,26.9,51.0,w,30635.37,30635.37,5482.54,4364.63,1117.91,0.0,0.0,Jan-2016,1099.69,Feb-2016,Jan-2016,1.0,INDIVIDUAL,,,0.0,491880.0,36,0,1,0,0,0,0,0,0,1,0,0,0,0,0
